steps,rewards,times
37700000,-50.0,2023-05-08 12:45:50.854786
37750000,-50.0,2023-05-08 12:45:53.878288
37800000,-50.0,2023-05-08 12:45:56.850285
37850000,-50.0,2023-05-08 12:45:59.722788
37900000,-50.0,2023-05-08 12:46:02.611284
37950000,-50.0,2023-05-08 12:46:05.730785
38000000,-50.0,2023-05-08 12:46:09.022786
38050000,-50.0,2023-05-08 12:46:12.075785
38100000,-50.0,2023-05-08 12:46:14.956785
38150000,-50.0,2023-05-08 12:46:17.786285
38200000,-50.0,2023-05-08 12:46:20.673784
38250000,-50.0,2023-05-08 12:46:23.683286
38300000,-50.0,2023-05-08 12:46:26.921786
38350000,-50.0,2023-05-08 12:46:29.881788
38400000,-50.0,2023-05-08 12:46:32.740784
38450000,-50.0,2023-05-08 12:46:35.762286
38500000,-50.0,2023-05-08 12:46:39.145785
38550000,-48.1,2023-05-08 12:46:42.134284
38600000,-50.0,2023-05-08 12:46:45.346284
38650000,-49.6,2023-05-08 12:46:48.237285
38700000,-50.0,2023-05-08 12:46:51.311784
38750000,-50.0,2023-05-08 12:46:54.262785
38800000,-50.0,2023-05-08 12:46:57.152284
38850000,-50.0,2023-05-08 12:47:00.044284
38900000,-50.0,2023-05-08 12:47:02.937284
38950000,-50.0,2023-05-08 12:47:05.888784
39000000,-50.0,2023-05-08 12:47:08.766784
39050000,-50.0,2023-05-08 12:47:11.647784
39100000,-50.0,2023-05-08 12:47:14.609785
39150000,-50.0,2023-05-08 12:47:17.837284
39200000,-50.0,2023-05-08 12:47:20.764287
39250000,-50.0,2023-05-08 12:47:23.628284
39300000,-50.0,2023-05-08 12:47:26.785284
39350000,-44.6,2023-05-08 12:47:30.154784
39400000,-50.0,2023-05-08 12:47:33.195284
39450000,-50.0,2023-05-08 12:47:36.160285
39500000,-50.0,2023-05-08 12:47:39.042784
39550000,-45.0,2023-05-08 12:47:41.998785
39600000,-50.0,2023-05-08 12:47:45.043785
39650000,-50.0,2023-05-08 12:47:48.439784
39700000,-50.0,2023-05-08 12:47:51.514784
39750000,-50.0,2023-05-08 12:47:54.474285
39800000,-50.0,2023-05-08 12:47:57.585785
39850000,-50.0,2023-05-08 12:48:00.525785
39900000,-50.0,2023-05-08 12:48:03.524785
39950000,-50.0,2023-05-08 12:48:06.390284
40000000,-50.0,2023-05-08 12:48:09.528786
40050000,-50.0,2023-05-08 12:48:12.447786
40100000,-50.0,2023-05-08 12:48:15.423285
40150000,-50.0,2023-05-08 12:48:18.330285
40200000,-50.0,2023-05-08 12:48:21.482286
40250000,-50.0,2023-05-08 12:48:24.408286
40300000,-50.0,2023-05-08 12:48:27.621284
40350000,-50.0,2023-05-08 12:48:31.014285
40400000,-50.0,2023-05-08 12:48:34.041284
40450000,-50.0,2023-05-08 12:48:36.993285
40500000,-50.0,2023-05-08 12:48:40.139285
40550000,-50.0,2023-05-08 12:48:43.448286
40600000,-50.0,2023-05-08 12:48:46.530285
40650000,-50.0,2023-05-08 12:48:49.430287
40700000,-50.0,2023-05-08 12:48:52.405785
40750000,-50.0,2023-05-08 12:48:55.292285
40800000,-50.0,2023-05-08 12:48:58.222785
40850000,-50.0,2023-05-08 12:49:01.349284
40900000,-50.0,2023-05-08 12:49:04.434784
40950000,-50.0,2023-05-08 12:49:07.592286
41000000,-50.0,2023-05-08 12:49:10.839284
41050000,-50.0,2023-05-08 12:49:13.976288
41100000,-50.0,2023-05-08 12:49:16.834284
41150000,-50.0,2023-05-08 12:49:19.720784
41200000,-50.0,2023-05-08 12:49:22.736784
41250000,-50.0,2023-05-08 12:49:25.904284
41300000,-50.0,2023-05-08 12:49:29.114285
41350000,-50.0,2023-05-08 12:49:32.339285
41400000,-45.0,2023-05-08 12:49:35.345786
41450000,-50.0,2023-05-08 12:49:38.393286
41500000,-50.0,2023-05-08 12:49:41.806284
41550000,-50.0,2023-05-08 12:49:45.098285
41600000,-50.0,2023-05-08 12:49:48.102784
41650000,-50.0,2023-05-08 12:49:51.399284
41700000,-50.0,2023-05-08 12:49:54.519284
41750000,-50.0,2023-05-08 12:49:57.494284
41800000,-50.0,2023-05-08 12:50:00.735783
41850000,-50.0,2023-05-08 12:50:03.854783
41900000,-50.0,2023-05-08 12:50:06.850285
41950000,-50.0,2023-05-08 12:50:09.971785
42000000,-50.0,2023-05-08 12:50:13.182284
42050000,-50.0,2023-05-08 12:50:16.380784
42100000,-45.0,2023-05-08 12:50:19.348785
42150000,-50.0,2023-05-08 12:50:22.298785
42200000,-50.0,2023-05-08 12:50:25.388785
42250000,-50.0,2023-05-08 12:50:28.898285
42300000,-50.0,2023-05-08 12:50:32.135288
42350000,-50.0,2023-05-08 12:50:35.093785
42400000,-50.0,2023-05-08 12:50:38.199786
42450000,-50.0,2023-05-08 12:50:41.153285
42500000,-50.0,2023-05-08 12:50:44.479286
42550000,-50.0,2023-05-08 12:50:47.554286
42600000,-50.0,2023-05-08 12:50:50.589784
42650000,-50.0,2023-05-08 12:50:53.748288
42700000,-50.0,2023-05-08 12:50:56.755288
42750000,-50.0,2023-05-08 12:50:59.680785
42800000,-50.0,2023-05-08 12:51:03.118284
42850000,-50.0,2023-05-08 12:51:06.139785
42900000,-50.0,2023-05-08 12:51:09.101284
42950000,-50.0,2023-05-08 12:51:12.242284
43000000,-50.0,2023-05-08 12:51:15.403785
43050000,-50.0,2023-05-08 12:51:18.542785
43100000,-50.0,2023-05-08 12:51:21.809285
43150000,-50.0,2023-05-08 12:51:24.842285
43200000,-50.0,2023-05-08 12:51:28.121784
43250000,-50.0,2023-05-08 12:51:31.140287
43300000,-50.0,2023-05-08 12:51:34.142285
43350000,-50.0,2023-05-08 12:51:37.222284
43400000,-50.0,2023-05-08 12:51:40.288287
43450000,-50.0,2023-05-08 12:51:43.203284
43500000,-50.0,2023-05-08 12:51:46.585784
43550000,-50.0,2023-05-08 12:51:49.603288
43600000,-50.0,2023-05-08 12:51:52.468285
43650000,-50.0,2023-05-08 12:51:55.526284
43700000,-50.0,2023-05-08 12:51:58.635786
43750000,-50.0,2023-05-08 12:52:01.698785
43800000,-50.0,2023-05-08 12:52:04.745284
43850000,-45.0,2023-05-08 12:52:07.910784
43900000,-50.0,2023-05-08 12:52:11.036284
43950000,-50.0,2023-05-08 12:52:13.978283
44000000,-50.0,2023-05-08 12:52:17.381784
44050000,-50.0,2023-05-08 12:52:20.452785
44100000,-50.0,2023-05-08 12:52:23.491286
44150000,-50.0,2023-05-08 12:52:26.617784
44200000,-50.0,2023-05-08 12:52:29.577284
44250000,-50.0,2023-05-08 12:52:32.726784
44300000,-50.0,2023-05-08 12:52:35.975783
44350000,-50.0,2023-05-08 12:52:38.840285
44400000,-50.0,2023-05-08 12:52:41.797284
44450000,-50.0,2023-05-08 12:52:45.043284
44500000,-50.0,2023-05-08 12:52:47.946784
44550000,-50.0,2023-05-08 12:52:50.918284
44600000,-50.0,2023-05-08 12:52:53.952286
44650000,-50.0,2023-05-08 12:52:57.032786
44700000,-50.0,2023-05-08 12:53:00.308785
44750000,-50.0,2023-05-08 12:53:03.321285
44800000,-50.0,2023-05-08 12:53:06.555286
44850000,-50.0,2023-05-08 12:53:09.785788
44900000,-50.0,2023-05-08 12:53:12.714284
44950000,-50.0,2023-05-08 12:53:15.621785
45000000,-50.0,2023-05-08 12:53:18.808284
45050000,-50.0,2023-05-08 12:53:21.833285
45100000,-50.0,2023-05-08 12:53:24.918785
45150000,-50.0,2023-05-08 12:53:28.097289
45200000,-50.0,2023-05-08 12:53:31.087286
45250000,-50.0,2023-05-08 12:53:34.115284
45300000,-50.0,2023-05-08 12:53:37.250287
45350000,-50.0,2023-05-08 12:53:40.442787
45400000,-50.0,2023-05-08 12:53:43.469287
45450000,-50.0,2023-05-08 12:53:46.794786
45500000,-50.0,2023-05-08 12:53:49.730285
45550000,-50.0,2023-05-08 12:53:52.775286
45600000,-50.0,2023-05-08 12:53:55.898284
45650000,-50.0,2023-05-08 12:53:59.254284
45700000,-50.0,2023-05-08 12:54:02.328284
45750000,-50.0,2023-05-08 12:54:05.157285
45800000,-50.0,2023-05-08 12:54:08.091284
45850000,-50.0,2023-05-08 12:54:11.390284
45900000,-50.0,2023-05-08 12:54:14.443284
45950000,-50.0,2023-05-08 12:54:17.851785
46000000,-50.0,2023-05-08 12:54:20.799286
46050000,-50.0,2023-05-08 12:54:23.884285
46100000,-50.0,2023-05-08 12:54:26.925284
46150000,-50.0,2023-05-08 12:54:29.979784
46200000,-50.0,2023-05-08 12:54:34.903785
46250000,-50.0,2023-05-08 12:54:38.962287
46300000,-50.0,2023-05-08 12:54:43.421785
46350000,-50.0,2023-05-08 12:54:48.118285
46400000,-50.0,2023-05-08 12:54:52.632786
46450000,-48.9,2023-05-08 12:54:55.739784
46500000,-50.0,2023-05-08 12:54:59.082285
46550000,-50.0,2023-05-08 12:55:02.228784
46600000,-50.0,2023-05-08 12:55:05.586284
46650000,-50.0,2023-05-08 12:55:08.784785
